Age,EstimatedSalary,Purchased,Predicted_Class,Conversion_Probability
19,19000,0,0,0.15
35,20000,0,0,3.95
26,43000,0,0,1.34
27,57000,0,0,2.54
19,76000,0,0,0.92
27,58000,0,0,2.63
27,84000,0,0,5.86
32,150000,1,1,59.29
25,33000,0,0,0.79
35,65000,0,0,14.9
26,80000,0,0,4.27
26,52000,0,0,1.78
20,86000,0,0,1.55
32,18000,0,0,2.04
18,82000,0,0,0.91
29,80000,0,0,7.63
47,25000,1,0,36.3
45,26000,1,0,28.06
46,28000,1,0,33.82
48,29000,1,0,44.33
45,22000,1,0,25.54
47,49000,1,1,55.24
48,41000,1,1,53.95
45,22000,1,0,25.54
46,23000,1,0,30.32
47,20000,1,0,32.67
49,28000,1,0,48.64
47,30000,1,0,40.1
29,43000,0,0,2.45
31,18000,0,0,1.67
31,74000,0,0,9.32
27,137000,1,0,25.53
21,16000,0,0,0.2
28,44000,0,0,2.07
27,90000,0,0,7.02
35,27000,0,0,4.9
33,28000,0,0,3.41
30,49000,0,0,3.61
26,72000,0,0,3.33
27,31000,0,0,1.12
27,17000,0,0,0.72
33,51000,0,0,6.88
35,108000,0,0,41.13
30,15000,0,0,1.24
28,84000,0,0,7.1
23,20000,0,0,0.35
25,79000,0,0,3.39
27,54000,0,0,2.32
30,135000,1,0,37.33
31,89000,0,0,14.27
24,32000,0,0,0.63
18,44000,0,0,0.27
29,83000,0,0,8.34
35,23000,0,0,4.33
27,58000,0,0,2.63
24,55000,0,0,1.3
23,48000,0,0,0.85
28,79000,0,0,6.11
22,18000,0,0,0.27
32,117000,0,0,33.49
27,20000,0,0,0.79
25,87000,0,0,4.35
23,66000,0,0,1.51
32,120000,1,0,35.67
59,83000,0,1,97.75
24,58000,0,0,1.43
24,19000,0,0,0.41
23,82000,0,0,2.5
22,63000,0,0,1.12
31,68000,0,0,7.81
25,80000,0,0,3.5
24,27000,0,0,0.53
20,23000,0,0,0.21
33,113000,0,0,35.23
32,18000,0,0,2.04
34,112000,1,0,39.28
18,52000,0,0,0.35
22,27000,0,0,0.35
28,87000,0,0,7.77
26,17000,0,0,0.58
30,80000,0,0,9.21
39,42000,0,0,15.97
20,49000,0,0,0.48
35,88000,0,0,26.85
30,62000,0,0,5.38
31,118000,1,0,29.74
24,55000,0,0,1.3
28,85000,0,0,7.32
26,81000,0,0,4.4
35,50000,0,0,9.75
22,81000,0,0,1.98
30,116000,0,0,24.42
26,15000,0,0,0.55
